timestamp,mem_usage,mem_perc,cpu_perc
1783516564,235.5MiB / 13.47GiB,1.71%,20.38%
1783516566,344.4MiB / 13.47GiB,2.50%,36.13%
1783516568,344.4MiB / 13.47GiB,2.50%,35.64%
1783516570,356.6MiB / 13.47GiB,2.59%,57.68%
1783516572,356.6MiB / 13.47GiB,2.59%,28.74%
1783516574,410.3MiB / 13.47GiB,2.97%,104.17%
1783516576,558.6MiB / 13.47GiB,4.05%,119.00%
1783516579,357.9MiB / 13.47GiB,2.59%,111.35%
1783516581,562.7MiB / 13.47GiB,4.08%,116.00%
1783516583,366.4MiB / 13.47GiB,2.66%,83.89%
1783516585,544.9MiB / 13.47GiB,3.95%,119.73%
1783516587,749.5MiB / 13.47GiB,5.43%,120.22%
1783516589,569MiB / 13.47GiB,4.12%,253.89%
1783516591,766.6MiB / 13.47GiB,5.56%,111.51%
1783516593,494.4MiB / 13.47GiB,3.58%,99.89%
1783516595,704.8MiB / 13.47GiB,5.11%,118.69%
1783516597,494.8MiB / 13.47GiB,3.59%,94.09%
1783516599,618.6MiB / 13.47GiB,4.48%,228.16%
1783516601,499MiB / 13.47GiB,3.62%,110.44%
1783516603,581.5MiB / 13.47GiB,4.21%,100.34%
1783516605,809.5MiB / 13.47GiB,5.87%,114.67%
1783516607,614.5MiB / 13.47GiB,4.45%,110.15%
1783516609,623.8MiB / 13.47GiB,4.52%,102.18%
1783516611,853.8MiB / 13.47GiB,6.19%,112.76%
1783516613,631.5MiB / 13.47GiB,4.58%,98.09%
1783516615,696.2MiB / 13.47GiB,5.05%,234.28%
1783516618,881.2MiB / 13.47GiB,6.39%,111.82%
1783516620,633.5MiB / 13.47GiB,4.59%,99.05%
1783516622,760.6MiB / 13.47GiB,5.51%,165.97%
1783516624,634.2MiB / 13.47GiB,4.60%,104.42%
1783516626,645.5MiB / 13.47GiB,4.68%,99.97%
1783516628,823.9MiB / 13.47GiB,5.97%,124.73%
1783516630,648.8MiB / 13.47GiB,4.70%,108.59%
1783516632,815.7MiB / 13.47GiB,5.91%,100.35%
1783516634,940.9MiB / 13.47GiB,6.82%,230.68%
1783516636,819.1MiB / 13.47GiB,5.94%,101.63%
1783516638,829.2MiB / 13.47GiB,6.01%,97.56%
1783516640,936.5MiB / 13.47GiB,6.79%,229.32%
1783516642,1.092GiB / 13.47GiB,8.11%,114.96%
1783516644,845.8MiB / 13.47GiB,6.13%,97.75%
1783516646,912.3MiB / 13.47GiB,6.61%,228.77%
1783516648,1.104GiB / 13.47GiB,8.20%,111.91%
1783516650,859.4MiB / 13.47GiB,6.23%,98.45%
1783516652,859MiB / 13.47GiB,6.23%,98.05%
1783516654,986.1MiB / 13.47GiB,7.15%,195.64%
1783516656,859.7MiB / 13.47GiB,6.23%,104.26%
1783516659,861MiB / 13.47GiB,6.24%,97.99%
1783516661,863.7MiB / 13.47GiB,6.26%,100.40%
1783516663,1.06GiB / 13.47GiB,7.87%,114.33%
1783516665,863.6MiB / 13.47GiB,6.26%,94.48%
1783516667,863.2MiB / 13.47GiB,6.26%,98.09%
1783516669,929.4MiB / 13.47GiB,6.74%,225.41%
1783516671,1.12GiB / 13.47GiB,8.31%,115.58%
1783516673,873.6MiB / 13.47GiB,6.33%,99.29%
1783516675,1.023GiB / 13.47GiB,7.59%,99.12%
1783516677,1.062GiB / 13.47GiB,7.89%,209.72%
1783516679,1.251GiB / 13.47GiB,9.28%,112.98%
1783516681,1.028GiB / 13.47GiB,7.63%,97.93%
1783516683,1.035GiB / 13.47GiB,7.68%,98.08%
1783516685,1.084GiB / 13.47GiB,8.05%,220.87%
1783516687,1.266GiB / 13.47GiB,9.39%,109.08%
1783516689,1.047GiB / 13.47GiB,7.77%,98.10%
1783516691,1.056GiB / 13.47GiB,7.84%,98.23%
1783516693,1.121GiB / 13.47GiB,8.32%,216.57%
1783516695,1.335GiB / 13.47GiB,9.91%,114.10%
1783516697,1.067GiB / 13.47GiB,7.92%,98.33%
1783516699,1.074GiB / 13.47GiB,7.97%,98.05%
1783516702,1.08GiB / 13.47GiB,8.01%,93.09%
